WL,PD,MoV,SoS,SRS,OSRS,DSRS,Rnktmosns,Yds,Ply,YP,TO,FL,FirstD,Cmp,Att,RnYds,TD,Int,NYAs,FrstDPerPass,RushAtt,RushYdsGnd,RuhingShutD,RshYdspAt,Fstdns,Penalties,Yards,FirstDownsP,Sc,Tos,EXPByOffense,RankByPassingoffense,PassesCompleted,PassesAttempted,PercentageOfPassesCompleted,YdsgainedByPassing,Tds,TDPercentage,Interceptionsthrown,InterceptionsThrownedPercentage,LngstCompletedPassthrown,YardsgainedByPassAttempt,Adugestedyardagained,YardsGainedPerpassCompletion,YardsgainedperPlayedGame,Rating,Timessacked,YdsLostDueToSacks,NYPerPassattempt,AdjustedNYA,SkPercentage,FourQC,GWDByQuarterBacks,ExpectedPointsContributedByPassingOffense,RkByRushingOffense,AttemptsRushing,YdsgainedRushing,TdsRsh,LngstRshAtt,YARsh,YdaPG,Fmbles,EXPPByRshoffense,RkByKickPuntReturns,Rets,PuntsReturnYardage,PuntsreturnedPreTD,LngstPuntRet,YdsgainedPerPuntReturs,KickOffReturns,YardageForKickoffReturns,KickOffReturnsForTD,LngstKickOffReturn,YperRT,AllPurposeYards,RkByKickingPunting,FGAtwenties,FGMtwenties,FGAthirties,FGMthirties,FGAfourties,FGMfourties,FGAfifryplus,FGMfiftyplus,FGAtot,FGMtot,XPAttempted,XPMade,PntTimes,TotPuntYardage,LngstPnt,Blcks,YperPunts,RnkByScoringOffense,RshTD,RecTD,AllTD,TwoPA,XpointsMade,XpointsAttempted,TotalFGM,TotalFGA,Sfty,PtsByAllMeans,PtsPerG,RkByDrives,NumberofDrives,PlaysInDrive,ScPercntge,PercenntageOfDrivesEndingInOffensiveTurnover,AvgPlays,NtsYdsPD,AvgPtsScored,TD1,TD2,TD3,TD4,TD5,TD6,TD7,TD8,TD9,TD10,TD11,TD12,TD13,TD14,TD15,TD16,TD17,TD18,TD19,TD20,TD21,TD22,TD23,TD24,TD25,TD26,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,PD11,PD12,PD13,PD14,PD15,PD16,PD17,PD18,PD19,PD20,RDA,RDB,RDC,RDD,RDE,RDF,RDG,PKA,PKB,PKC,PKD,PKE,PKF,PKG,PKH,PKI,KPA,KPB,KPC,KPD,KPF,KPG,SDA,SDB,SDC,SDD,SDE,SDF,ADG,SDH,ADI,DAA,DAB,DAC,DAD,DAE,DAF,DAG,DAH
0.375,-20,-1.3,-0.4,-1.7,0.8,-2.5,13,5875,1086,5.4,28,14,336,383,607,4272,30,14,6.7,218,449,1603,13,3.6,83,101,896,35,34.7,12.4,27.58,7,383,607,63.1,4272,30,4.9,14,2.3,80,7.4,7.3,11.7,267,92.2,30,198,6.7,6.7,4.7,1,1,82.92,23,449,1603,13,50,3.6,100.2,21,-43.06,13,29,224,0,25,7.7,44,1025,0,45,23.3,7324,9,7,6,9,9,5,4,4,4,26,24,44,44,81,3640,71,1,44.9,13,13,30,44,0,44,44,24,26,0,380,23.8,9,193,1112,34.7,12.4,5.8,30.3,1.93,22,400,6012,1007,6,26,9,326,324,522,3850,25,17,6.8,187,438,2162,15,4.9,112,105,948,27,35.4,12.8,-56.64,18,324,522,62.1,3850,25,4.8,17,3.3,8,7.5,12.8,240.6,89.4,47,313,6.8,6.3,8.3,-52.7,30,438,2162,15,4.9,135.1,-6.02,19,37,391,1,10.6,32,587,0,18.3,24,31,29,41,41,75,20,15,25,41,41,29,31,400,25,26,195,1038,35.4,12.8,5.3,30.8,1.88
0.25,-118,-7.4,2.3,-5,-4,-1,28,5226,1052,5,24,9,289,287,498,2946,16,15,5.4,154,507,2280,11,4.5,112,109,932,23,31.7,11.8,-47.78,32,287,498,57.6,2946,16,3.2,15,3,74,6.4,5.7,11.2,184.1,75.1,47,260,5.4,4.8,8.6,1,2,-10.34,3,507,2280,11,71,4.5,142.5,25,-19.76,2,43,273,0,41,6.3,58,1342,0,87,23.1,7076,16,13,13,7,7,13,9,6,3,39,32,23,23,79,3580,69,1,45.3,28,11,16,27,4,23,23,32,39,1,283,17.7,13,186,1091,31.7,11.8,5.9,28,1.53,24,401,5235,976,5.4,13,7,300,345,538,3746,31,6,6.4,194,393,1489,10,3.8,74,91,780,32,37.2,5.5,-74.3,14,345,538,64.1,3746,31,5.8,6,1.1,7.5,8.2,11.8,234.1,101.5,45,310,6.4,7,7.7,-99.33,5,393,1489,10,3.8,93.1,21.38,31,25,250,0,10,51,1110,0,21.8,16,32,26,44,43,81,5,10,31,43,44,26,32,401,25.1,19,183,1008,37.2,5.5,5.5,28.4,2.03
0.188,-199,-12.4,3.4,-9,-4.3,-4.7,31,4515,994,4.5,29,13,248,365,629,3275,22,16,5,173,337,1240,4,3.7,56,116,939,19,22.7,13.6,-139.12,26,365,629,58,3275,22,3.5,16,2.5,77,5.5,5,9.5,204.7,74.4,28,181,5,4.6,4.3,1,1,-60.61,32,337,1240,4,90,3.7,77.5,28,-71.76,4,37,261,0,27,7.1,47,1027,0,42,21.9,5976,2,2,2,5,5,10,9,5,3,22,19,28,28,109,4930,62,0,45.2,31,4,22,28,0,28,28,19,22,0,253,15.8,3,198,1016,22.7,13.6,5.1,22.6,1.21,32,452,5721,1041,5.5,14,5,320,343,538,3810,29,9,6.8,190,481,1911,17,4,95,116,941,35,39.6,6.6,-56.86,16,343,538,63.8,3810,29,5.4,9,1.7,7.4,7.7,11.6,238.1,96.9,22,157,6.8,7.1,3.9,-127.44,22,481,1911,17,4,119.4,48.36,29,47,513,1,10.9,21,683,0,32.5,30,38,32,50,50,83,2,17,29,50,50,32,38,452,28.3,27,197,1079,39.6,6.6,5.5,29.1,2.12
0.625,74,4.6,-0.7,3.9,6.6,-2.7,3,6348,1127,5.6,36,15,356,384,621,4356,27,21,6.7,218,474,1992,16,4.2,109,115,995,29,36.9,17.2,46.41,6,384,621,61.8,4356,27,4.3,21,3.4,72,7.4,6.7,11.9,272.3,84.8,32,225,6.7,6.1,4.9,2,3,89.05,9,474,1992,16,53,4.2,124.5,25,-33.02,14,41,531,2,82,13,32,874,2,107,27.3,8049,1,10,10,16,14,6,4,4,4,36,32,54,54,76,3331,68,0,43.8,3,16,27,54,0,54,54,32,36,0,474,29.6,2,203,1163,36.9,17.2,5.7,31.1,1.96,23,400,6009,1113,5.4,28,16,338,345,591,4238,30,12,6.6,211,473,1771,14,3.7,88,121,1089,39,31.1,12.7,-11.84,31,345,591,58.4,4238,30,5.1,12,2,7.8,7.9,13.3,264.9,91.6,49,357,6.6,6.7,7.7,-97.59,15,473,1771,14,3.7,110.7,70.1,20,29,238,1,8.2,52,1183,0,22.8,32,27,22,47,46,91,30,14,30,46,47,22,27,400,25,32,212,1140,31.1,12.7,5.4,28.2,1.76
0.688,68,4.3,-2,2.2,4.4,-2.1,7,6577,1068,6.2,21,11,379,411,612,4825,33,10,7.5,243,423,1752,10,4.1,98,103,834,38,41.4,11.5,162.53,2,411,612,67.2,4825,33,5.4,10,1.6,94,8.2,8.5,12.2,301.6,103.2,33,172,7.5,7.8,5.1,2,3,189.59,16,423,1752,10,81,4.1,109.5,16,-29.11,21,32,321,1,71,10,35,758,0,41,21.7,7811,20,13,12,6,6,10,10,3,1,32,29,45,45,62,2667,74,1,43,7,10,33,49,4,45,45,29,32,1,436,27.3,28,174,1100,41.4,11.5,6.3,37.5,2.23,18,368,5654,944,6,21,10,314,350,543,4049,30,11,7,193,368,1605,9,4.4,88,97,835,33,39.7,11.5,-80.8,27,350,543,64.5,4049,30,5.5,11,2,7.8,8,12.1,253.1,98.3,33,194,7,7.2,5.7,-113.35,6,368,1605,9,4.4,100.3,22.78,12,27,220,0,8.1,54,1249,1,23.1,11,32,30,38,38,68,26,9,30,38,38,30,32,368,23,4,174,976,39.7,11.5,5.6,32.4,2.09
0.563,0,0,1.9,1.9,0.7,1.2,17,5465,1009,5.4,23,5,326,380,574,4098,31,18,6.7,214,398,1367,6,3.4,75,111,967,37,33.9,12.6,51.84,10,380,574,66.2,4098,31,5.4,18,3.1,59,7.5,7.2,11.3,256.1,93.4,37,198,6.7,6.4,6.1,3,3,111.54,30,398,1367,6,52,3.4,85.4,15,-48.68,30,23,203,0,58,8.8,26,577,0,35,22.2,6491,17,6,6,9,8,6,4,4,3,26,22,40,40,75,3366,72,1,44.9,17,6,31,40,0,40,40,22,26,1,348,21.8,30,174,1035,33.9,12.6,5.9,31.3,1.87,13,348,5413,988,5.5,18,11,307,320,524,3427,24,7,6.2,168,438,1986,11,4.5,98,129,1067,41,35.8,9.5,-53.24,4,320,524,61.1,3427,24,4.6,7,1.3,6.9,7.2,11.3,214.2,91.3,26,178,6.2,6.5,4.7,-79.59,26,438,1986,11,4.5,124.1,19.69,3,35,366,0,10.5,67,1488,0,22.2,17,34,28,36,36,69,16,11,24,36,36,28,34,348,21.8,9,179,1022,35.8,9.5,5.7,30.2,1.88
0.5,-34,-2.1,1.2,-1,-3,2.1,25,5239,1009,5.2,22,12,303,292,487,3063,20,10,5.7,165,470,2176,10,4.6,104,116,937,34,30.9,11.8,10.63,30,292,487,60,3063,20,4.1,10,2.1,80,7,6.9,11.7,191.4,86.3,52,344,5.7,5.6,9.6,3,2,46.81,4,470,2176,10,90,4.6,136,18,-32.96,8,35,227,0,23,6.5,45,1104,0,57,24.5,6943,28,6,6,9,8,7,5,9,6,31,25,33,33,73,3369,71,1,46.2,25,10,20,33,0,33,33,25,31,0,306,19.1,23,178,1040,30.9,11.8,5.8,29.4,1.6,10,340,5143,989,5.2,29,6,308,324,551,3531,29,23,6,188,402,1612,7,4,83,122,909,37,32,16.6,-8.98,5,324,551,58.8,3531,29,5.3,23,4.2,6.8,5.9,11.5,220.7,79.5,36,200,6,5.2,6.1,-46.52,7,402,1612,7,4,100.8,29,24,36,336,1,9.3,40,907,0,22.7,6,20,20,40,40,74,8,7,29,40,40,20,20,340,21.3,5,175,1009,32,16.6,5.8,29.3,1.78
0.75,140,8.8,0.8,9.5,2.4,7.1,10,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,27,287,454,63.2,3250,20,4.4,7,1.5,80,7.7,7.9,12.2,203.1,95.1,42,242,6.6,6.7,8.5,2,5,88.28,1,525,2762,20,79,5.3,172.6,23,65.66,12,36,252,0,38,7,39,820,0,47,21,7306,18,10,10,10,10,13,9,4,2,37,31,41,41,62,2688,66,1,43.4,10,20,20,43,1,41,41,31,37,1,394,24.6,26,175,1058,40.6,6.9,6,34.2,2.13,1,254,4274,924,4.6,24,11,277,313,507,2970,17,13,5.5,175,380,1304,8,3.4,70,70,613,32,26.9,12.3,50.43,1,313,507,61.7,2970,17,3.4,13,2.6,6.3,5.8,10.2,185.6,80.4,37,234,5.5,5,6.8,-20.84,3,380,1304,8,3.4,81.5,71.63,21,17,195,1,11.5,43,1035,0,24.1,15,24,21,25,25,83,23,8,17,25,25,21,24,254,15.9,3,171,948,26.9,12.3,5.5,25,1.39
0.375,-30,-1.9,1,-0.8,-1.2,0.4,21,5035,957,5.3,27,11,288,327,515,3400,20,16,6,189,395,1635,11,4.1,79,123,1139,20,29.6,14,-56.29,23,327,515,63.5,3400,20,3.9,16,3.1,63,7.2,6.6,11.3,212.5,84.9,47,295,6,5.5,8.4,1,2,5.26,20,395,1635,11,89,4.1,102.2,27,-56.47,6,37,482,2,90,13,45,1099,0,75,24.4,6915,11,7,6,12,10,3,2,7,5,30,24,35,34,81,3721,61,1,45.9,21,11,20,36,1,34,35,24,30,0,324,20.3,14,186,987,29.6,14,5.3,26.9,1.55,16,354,5626,1005,5.6,25,12,301,368,540,3861,18,13,6.7,189,425,1765,12,4.2,83,105,882,29,30.2,13.2,5.33,19,368,540,68.1,3861,18,3.3,13,2.4,7.6,7.2,11.2,241.3,91.8,40,265,6.7,6.3,6.9,-57.93,14,425,1765,12,4.2,110.3,54.74,27,28,192,0,6.9,35,849,1,24.3,22,29,25,39,39,76,12,12,18,39,39,25,29,354,22.1,16,182,1034,30.2,13.2,5.7,30.8,1.57
0.125,-133,-8.3,-1.5,-9.8,-6.5,-3.3,29,4672,936,5,33,13,263,301,531,3297,21,20,5.7,162,353,1375,7,3.9,72,118,939,29,26.7,17.2,-68.29,25,301,531,56.7,3297,21,4,20,3.8,56,6.8,5.9,12,206.1,75.2,52,326,5.7,4.8,8.9,1,1,-17.44,29,353,1375,7,63,3.9,85.9,29,-42.31,26,23,249,0,53,10.8,36,819,0,45,22.8,6051,30,3,2,8,7,7,6,6,5,24,20,31,31,79,3154,56,1,39.9,29,7,21,31,0,31,31,20,24,0,277,17.3,20,180,960,26.7,17.2,5.3,25.8,1.42,25,410,5903,1067,5.5,25,11,353,387,563,4084,28,14,6.8,223,468,1819,15,3.9,103,106,935,27,38.9,13,-72.07,28,387,563,68.7,4084,28,5,14,2.5,7.6,7.5,11.1,255.3,97.4,36,210,6.8,6.7,6,-137.68,19,468,1819,15,3.9,113.7,55.01,7,32,185,1,5.8,37,868,0,23.5,3,39,29,41,41,64,4,15,28,41,41,29,39,410,25.6,21,185,1106,38.9,13,6,31.8,2.1
0.125,-184,-11.5,-0.3,-11.8,-7,-4.9,30,4859,919,5.3,26,10,258,299,513,3412,20,16,6.1,159,356,1447,6,4.1,75,111,961,24,23.6,12.6,-99.02,22,299,513,58.3,3412,20,3.9,16,3.1,80,7.3,6.7,12.5,213.3,81,50,326,6.1,5.5,8.9,0,0,-41.89,26,356,1447,6,52,4.1,90.4,23,-40.88,10,30,207,0,48,6.9,48,1121,0,52,23.4,6594,24,5,5,7,7,8,5,2,2,22,19,27,27,89,4118,79,1,46.3,30,6,20,28,1,27,27,19,22,1,254,15.9,11,191,941,23.6,12.6,4.9,25.3,1.25,29,438,5968,1099,5.4,16,4,357,347,545,3773,28,12,6.5,211,515,2195,17,4.3,119,93,731,27,40.8,8.4,-85.48,15,347,545,63.7,3773,28,5.1,12,2.2,7.3,7.4,11.5,235.8,93.6,39,222,6.5,6.5,6.7,-112.22,31,515,2195,17,4.3,137.2,8.86,23,43,350,0,8.1,31,855,1,27.6,9,39,33,47,47,73,3,17,28,47,47,33,39,438,27.4,23,191,1138,40.8,8.4,6,31.2,2.17
0.25,-137,-8.6,-0.2,-8.7,-4,-4.7,26,5738,1006,5.7,31,13,318,364,547,4047,18,18,6.7,186,401,1691,15,4.2,88,120,1130,44,29.7,15.6,4.71,11,364,547,66.5,4047,18,3.3,18,3.3,81,8.2,7.3,12.3,252.9,88.8,58,414,6.7,5.9,9.6,1,3,22.45,19,401,1691,15,30,4.2,105.7,31,-11.85,23,29,208,0,37,7.2,36,783,0,45,21.8,7159,26,11,11,7,6,8,7,1,,27,24,32,31,78,3659,77,1,46.9,26,15,18,33,1,31,32,24,27,0,301,18.8,10,192,1033,29.7,15.6,5.4,29.9,1.58,30,438,5712,976,5.9,19,12,307,345,519,3990,35,7,7.2,195,421,1722,11,4.1,77,144,1164,35,37.4,8.8,-104.87,24,345,519,66.5,3990,35,6.7,7,1.3,8.2,8.9,12.3,249.4,108.3,36,241,7.2,7.9,6.5,-172.2,12,421,1722,11,4.1,107.6,51.95,10,42,397,1,9.5,43,1111,1,25.8,5,26,22,51,50,80,7,11,35,50,51,22,26,438,27.4,17,182,1002,37.4,8.8,5.5,31.2,2.13
0.625,55,3.4,3,6.4,2.7,3.7,17,5542,1037,5.3,31,9,329,363,574,4002,24,22,6.5,205,422,1540,12,3.6,84,96,744,40,33,15.5,-11.6,13,363,574,63.2,4002,24,4.2,22,3.8,91,7.5,6.6,11.8,250.1,83.9,41,289,6.5,5.7,6.7,3,4,48.42,23,422,1540,12,80,3.6,96.3,22,-50,27,34,198,0,22,5.8,27,540,0,46,20,6626,14,11,9,8,7,12,11,5,3,36,30,37,37,78,3566,60,0,45.7,17,12,24,41,4,37,37,30,36,2,379,23.7,9,200,1073,33,15.5,5.4,27.7,1.71,1,231,4378,990,4.4,39,11,282,309,524,2752,16,28,4.8,156,422,1626,4,3.9,83,98,879,43,24.7,19.4,149.91,14,367,625,58.7,3728,29,4.6,20,3.2,6.5,6,11.1,233,80.2,47,337,5.5,5.1,7,13.96,1,370,1351,5,3.7,84.4,57.01,6,36,321,0,8.9,54,1298,0,24,20,32,25,33,33,88,17,5,29,33,33,25,32,324,20.3,28,204,1074,28.9,13.7,5.3,24.9,1.53
0.25,-90,-5.6,2.9,-2.8,1.2,-3.9,20,5490,1024,5.4,28,11,330,445,659,4243,26,17,6,227,321,1247,11,3.9,64,91,788,39,34.1,14.5,44.8,7,445,659,67.5,4243,26,3.9,17,2.6,81,6.9,6.5,10.2,265.2,89.5,44,298,6,5.7,6.3,1,1,81.36,32,321,1247,11,50,3.9,77.9,17,-27.53,30,30,250,0,25,8.3,27,659,0,40,24.4,6761,31,9,9,8,7,5,5,5,3,27,24,39,39,70,3166,63,2,45.2,20,11,26,40,1,39,39,24,27,0,353,22.1,30,179,1051,34.1,14.5,5.9,30.7,1.85,2,241,4820,975,4.9,30,10,278,375,563,3429,17,20,5.5,178,352,1391,4,4,70,84,753,30,28.7,16.3,72.19,21,341,516,66.1,3897,31,6,10,1.9,8,8.3,12.1,243.6,102.4,32,231,7.1,7.4,5.8,-116.45,31,455,2173,14,4.8,135.8,-19.47,3,33,251,0,7.6,23,571,0,24.8,2,35,34,47,47,62,13,14,31,47,47,34,35,443,27.7,2,175,1038,45.1,11.4,5.9,34.7,2.38
0.5,-32,-2,-1.5,-3.5,-5,1.4,25,4918,1090,4.5,29,6,295,363,619,3590,19,23,5.4,189,423,1328,7,3.1,68,112,942,38,30.9,13.5,-93.04,18,363,619,58.6,3590,19,3.1,23,3.7,74,6.3,5.3,10.8,224.4,72,48,324,5.4,4.4,7.2,2,4,-4.61,30,423,1328,7,47,3.1,83,15,-83.22,5,43,609,1,82,14.2,44,1163,1,77,26.4,7001,6,10,10,13,12,11,10,7,6,41,38,26,26,91,4138,69,1,45.5,25,7,19,29,3,26,26,38,41,0,320,20,2,207,1131,30.9,13.5,5.5,23.7,1.43,3,272,5071,1020,5,30,12,284,345,585,3536,19,18,5.7,181,397,1535,11,3.9,77,96,878,26,26.2,13.1,72.63,12,314,552,56.9,3681,25,4.5,16,2.9,7.1,6.7,12.5,230.1,82.2,40,257,6.2,5.8,6.8,-33.77,11,440,1687,7,3.8,105.4,52.16,28,46,419,0,9.1,38,873,0,23,27,35,32,34,34,98,8,7,25,34,34,32,35,352,22,30,204,1067,31.4,10.3,5.2,26.3,1.57
0.375,-49,-3.1,-0.1,-3.2,-1.3,-1.9,22,5410,1116,4.8,27,12,301,299,522,3103,16,15,5.4,149,546,2307,15,4.2,113,110,954,39,29.9,12.1,-76.54,28,299,522,57.3,3103,16,3.1,15,2.9,59,6.5,5.8,11.3,193.9,75,48,270,5.4,4.8,8.4,2,3,-54.97,2,546,2307,15,77,4.2,144.2,32,-21.26,26,39,243,0,25,6.2,23,469,0,28,20.4,6470,3,13,13,6,6,11,10,6,4,36,33,32,32,96,4124,66,0,43,22,15,16,34,2,32,32,33,36,0,339,21.2,1,214,1152,29.9,12.1,5.4,25.2,1.48,4,304,4891,943,5.2,19,7,274,304,507,3105,20,12,5.6,168,387,1786,11,4.6,82,91,750,24,30.4,10.5,4.34,4,310,561,55.3,3271,28,5,23,4.1,6.5,5.7,11.8,204.4,74.9,57,395,5.3,4.5,9.2,32.74,28,471,2063,10,4.4,128.9,35.34,7,45,477,1,10.6,48,1122,0,23.4,30,36,31,41,41,94,11,10,28,41,41,31,36,388,24.3,32,214,1125,32.2,14,5.3,24.7,1.68
0.75,125,7.8,1.4,9.2,0.6,8.6,18,5069,999,5.1,19,6,319,292,473,3043,24,13,5.9,169,483,2026,14,4.2,122,80,671,28,36.5,9.4,70.12,29,292,473,61.7,3043,24,5.1,13,2.7,79,7.1,6.9,11.6,190.2,88.8,43,336,5.9,5.7,8.3,4,4,54.85,11,483,2026,14,56,4.2,126.6,12,17.76,28,30,316,0,41,10.5,28,612,0,38,21.9,6322,30,9,9,5,4,7,5,6,6,27,24,42,42,70,3344,72,0,47.8,18,14,24,42,0,42,42,24,27,0,366,22.9,31,170,1026,36.5,9.4,6,29.8,1.99,5,305,5885,1067,5.5,36,15,303,334,592,3962,25,21,6.2,189,428,1923,9,4.5,88,112,852,26,27.5,15.7,35.7,6,375,563,66.6,3429,17,3,20,3.6,6.8,5.8,10.3,214.3,81.4,60,424,5.5,4.6,9.6,15.71,2,352,1391,4,4,86.9,51.89,5,36,335,0,9.3,18,407,0,22.6,3,34,30,19,19,73,15,4,17,19,19,30,34,241,15.1,3,178,1009,28.7,16.3,5.7,26.9,1.33
0.5,-33,-2.1,-2.1,-4.1,3,-7.1,2,6109,1013,6,23,10,344,373,579,4281,32,13,7,215,404,1828,13,4.5,102,85,708,27,39,12.1,90.79,5,373,579,64.4,4281,32,5.5,13,2.2,80,7.7,7.8,11.9,267.6,96.9,30,169,7,7.1,4.9,4,4,101.74,16,404,1828,13,55,4.5,114.3,21,-1.51,4,18,256,1,81,14.2,70,1614,0,80,23.1,8180,24,11,11,7,6,7,6,4,3,29,26,46,45,69,2763,65,1,40,2,13,32,52,6,45,46,26,29,0,445,27.8,27,182,1042,39,12.1,5.7,33.5,2.16,6,305,4888,1042,4.7,31,11,282,362,614,3344,22,20,5.1,178,385,1544,6,4,72,69,692,32,27.4,15.2,92.93,15,315,507,62.1,3730,25,4.9,19,3.7,7.7,7,12.4,233.1,86.9,31,189,6.9,6.3,5.8,-48.62,32,483,2583,22,5.3,161.4,-59.42,29,15,111,0,7.4,47,883,1,18.8,10,30,28,54,54,58,31,22,25,54,54,28,30,478,29.9,4,178,1051,42.7,15.2,5.9,35.5,2.36
0.688,125,7.8,-2.5,5.3,2.3,3,6,5891,1097,5.4,30,10,330,364,587,4136,33,20,6.7,205,481,1755,14,3.6,101,102,1000,24,32.3,14.9,12.59,8,364,587,62,4136,33,5.6,20,3.4,82,7.4,6.9,11.9,258.5,89,29,182,6.7,6.3,4.7,0,3,64.92,18,481,1755,14,35,3.6,109.7,20,-43.09,7,47,424,0,43,9,39,980,0,71,25.1,7625,15,2,2,7,6,9,7,4,3,22,18,53,52,75,3330,75,0,44.4,6,14,33,54,1,52,53,18,22,0,430,26.9,6,201,1119,32.3,14.9,5.6,29.2,1.91,7,324,5079,1042,4.9,30,10,309,367,625,3728,29,20,5.5,208,370,1351,5,3.7,68,111,960,33,28.9,13.7,77.66,5,362,614,59,3344,22,3.6,20,3.3,5.9,5.2,10,209,74.2,43,279,5.1,4.4,6.5,52.31,5,385,1544,6,4,96.5,31.96,27,27,254,1,9.4,52,1219,0,23.4,18,31,26,31,31,90,26,6,22,31,31,26,31,305,19.1,22,197,1073,27.4,15.2,5.4,24.8,1.39
0.25,-98,-6.1,-1.6,-7.7,-4.8,-2.9,27,5423,1078,5,29,9,301,379,681,4040,26,20,5.5,200,348,1383,4,4,77,104,920,24,26.2,13.8,-74.76,11,379,681,55.7,4040,26,3.8,20,2.9,95,6.4,5.9,11.5,252.5,75.7,49,332,5.5,5,6.7,1,2,-52.64,28,348,1383,4,45,4,86.4,17,-9.49,13,38,418,1,79,11,40,931,0,86,23.3,7092,22,7,7,6,5,9,7,4,2,26,21,33,33,86,3713,59,1,43.2,27,4,26,35,2,33,33,21,26,0,310,19.3,16,195,1104,26.2,13.8,5.7,27.8,1.4,8,335,5750,1106,5.2,24,6,327,344,580,3752,17,18,6,192,484,1998,14,4.1,114,95,748,21,33.5,11.9,-4.44,8,363,605,60,3538,29,4.8,14,2.3,6.2,6.1,10.3,221.1,84.1,40,185,5.5,5.4,6.2,-34.05,18,462,1781,13,3.9,111.3,22.28,20,38,357,0,9.4,27,612,0,22.7,11,32,27,43,43,88,6,13,29,43,43,27,32,406,25.4,27,203,1139,34,9.9,5.6,26.1,1.85
0.5,7,0.4,-1.1,-0.7,2.7,-3.4,5,5458,957,5.7,20,8,325,375,586,3954,33,12,6.4,213,336,1504,12,4.5,80,102,867,32,39.9,9.8,79.41,14,375,586,64,3954,33,5.6,12,2,82,7.2,7.4,11.3,247.1,95.7,35,272,6.4,6.6,5.6,2,4,77.73,24,336,1504,12,45,4.5,94,18,10.56,16,31,386,1,86,12.5,45,1147,0,90,25.5,7369,9,2,2,9,8,10,10,7,6,30,28,47,47,77,3467,62,0,45,5,12,33,51,4,47,47,28,30,0,439,27.4,26,183,987,39.9,9.8,5.4,29.7,2.18,9,336,5713,1026,5.6,27,12,319,324,536,3711,21,15,6.4,191,448,2002,14,4.5,101,112,990,27,31.7,13.7,-75.62,30,403,623,64.7,4589,33,5.3,15,2.4,7.8,7.7,12,286.8,96,34,246,7,7,5.2,-101.42,27,437,2056,17,4.7,128.5,-20.03,19,37,339,0,9.2,38,791,0,20.8,24,29,25,48,47,61,28,17,33,47,48,25,29,432,27,12,189,1123,39.7,13.8,5.9,35.1,2.25
0.813,207,12.9,-1.6,11.4,14.1,-2.7,1,7317,1156,6.3,26,16,435,461,675,5444,55,10,7.8,293,461,1873,16,4.1,107,117,1000,35,47.5,10.4,274.57,1,461,675,68.3,5444,55,8.1,10,1.5,78,8.3,9.2,12.1,340.3,114.4,20,128,7.8,8.8,2.9,2,2,291.3,15,461,1873,16,45,4.1,117.1,27,-18.03,9,44,343,1,81,7.8,39,974,1,105,25,8837,2,4,4,5,5,8,8,7,6,26,25,75,75,66,2893,60,1,43.8,1,16,55,76,1,75,75,25,26,0,606,37.9,4,202,1182,47.5,10.4,5.9,36.2,2.83,10,338,5969,1118,5.3,29,12,338,336,589,3824,25,17,6,208,481,2145,11,4.5,110,110,951,20,29.6,13.3,-19.08,27,357,613,58.2,4070,29,4.7,17,2.8,7.1,6.8,12.2,254.4,84.5,41,290,6.2,5.9,6.3,-99.8,7,420,1626,15,3.9,101.6,59.04,24,28,274,0,9.8,32,936,1,29.3,31,26,23,44,44,89,32,15,29,44,44,23,26,399,24.9,31,206,1100,32.5,12.6,5.3,27.5,1.83
0.438,19,1.2,-2.8,-1.6,-1.2,-0.5,13,6274,1102,5.7,34,15,350,371,634,4482,29,19,6.8,221,445,1792,15,4,106,110,925,23,32.1,17.3,28.58,3,371,634,58.5,4482,29,4.6,19,3,87,7.3,6.9,12.5,280.1,84.2,23,168,6.8,6.4,3.5,2,3,76.44,17,445,1792,15,39,4,112,28,-43.92,20,38,392,1,58,10.3,34,816,1,98,24,7614,29,5,5,8,6,7,4,3,3,24,19,43,42,73,3399,72,1,46.6,13,15,29,48,5,42,43,19,24,2,395,24.7,12,196,1126,32.1,17.3,5.7,31.8,1.86,11,348,5864,959,6.1,17,6,327,364,548,4139,23,11,7.1,208,376,1725,14,4.6,98,100,850,21,36.1,9.6,-113.64,23,338,572,59.1,3950,24,4.2,15,2.6,7.3,7,12.4,246.9,85,33,249,6.5,6.2,5.5,-84.19,6,377,1596,10,4.2,99.8,64.55,13,32,250,0,7.8,35,924,0,26.4,5,40,37,29,29,84,20,10,24,29,29,37,40,376,23.5,25,199,1022,35.7,11.1,5.1,27.7,1.75
