WL,PD,MoV,SoS,SRS,OSRS,DSRS,Rnktmosns,Yds,Ply,YP,TO,FL,FirstD,Cmp,Att,RnYds,TD,Int,NYAs,FrstDPerPass,RushAtt,RushYdsGnd,RuhingShutD,RshYdspAt,Fstdns,Penalties,Yards,FirstDownsP,Sc,Tos,EXPByOffense,RankByPassingoffense,PassesCompleted,PassesAttempted,PercentageOfPassesCompleted,YdsgainedByPassing,Tds,TDPercentage,Interceptionsthrown,InterceptionsThrownedPercentage,LngstCompletedPassthrown,YardsgainedByPassAttempt,Adugestedyardagained,YardsGainedPerpassCompletion,YardsgainedperPlayedGame,Rating,Timessacked,YdsLostDueToSacks,NYPerPassattempt,AdjustedNYA,SkPercentage,FourQC,GWDByQuarterBacks,ExpectedPointsContributedByPassingOffense,RkByRushingOffense,AttemptsRushing,YdsgainedRushing,TdsRsh,LngstRshAtt,YARsh,YdaPG,Fmbles,EXPPByRshoffense,RkByKickPuntReturns,Rets,PuntsReturnYardage,PuntsreturnedPreTD,LngstPuntRet,YdsgainedPerPuntReturs,KickOffReturns,YardageForKickoffReturns,KickOffReturnsForTD,LngstKickOffReturn,YperRT,AllPurposeYards,RkByKickingPunting,FGAtwenties,FGMtwenties,FGAthirties,FGMthirties,FGAfourties,FGMfourties,FGAfifryplus,FGMfiftyplus,FGAtot,FGMtot,XPAttempted,XPMade,PntTimes,TotPuntYardage,LngstPnt,Blcks,YperPunts,RnkByScoringOffense,RshTD,RecTD,AllTD,TwoPA,XpointsMade,XpointsAttempted,TotalFGM,TotalFGA,Sfty,PtsByAllMeans,PtsPerG,RkByDrives,NumberofDrives,PlaysInDrive,ScPercntge,PercenntageOfDrivesEndingInOffensiveTurnover,AvgPlays,NtsYdsPD,AvgPtsScored,TD1,TD2,TD3,TD4,TD5,TD6,TD7,TD8,TD9,TD10,TD11,TD12,TD13,TD14,TD15,TD16,TD17,TD18,TD19,TD20,TD21,TD22,TD23,TD24,TD25,TD26,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,PD11,PD12,PD13,PD14,PD15,PD16,PD17,PD18,PD19,PD20,RDA,RDB,RDC,RDD,RDE,RDF,RDG,PKA,PKB,PKC,PKD,PKE,PKF,PKG,PKH,PKI,KPA,KPB,KPC,KPD,KPF,KPG,SDA,SDB,SDC,SDD,SDE,SDF,ADG,SDH,ADI,DAA,DAB,DAC,DAD,DAE,DAF,DAG,DAH
0.688,39,2.4,-0.4,2.1,-3.2,5.2,22,5452,1045,5.2,20,8,310,365,604,4030,22,12,6.2,210,396,1422,11,3.6,72,118,989,28,32.4,9.5,41.29,12,365,604,60.4,4030,22,3.6,12,2,73,7.1,6.9,11.7,251.9,85.9,45,254,6.2,6.1,6.9,5,5,83.34,28,396,1422,11,57,3.6,88.9,21,-35,28,32,284,0,28,8.9,25,612,0,41,24.5,6637,25,10,10,6,5,14,6,8,4,38,25,32,32,68,3138,71,0,46.1,22,11,22,35,3,32,32,25,38,1,321,20.1,21,179,1083,32.4,9.5,6.1,30.4,1.71,3,282,4815,984,4.9,27,7,310,383,592,3706,23,20,5.8,209,350,1109,8,3.2,59,99,849,42,26.9,14.3,48.45,13,383,592,64.7,3706,23,3.9,20,3.4,6.8,6,10.4,231.6,83,42,295,5.8,5.2,6.6,-41.9,1,350,1109,8,3.2,69.3,81.82,5,30,311,1,10.4,20,544,0,27.2,8,23,18,30,30,82,11,8,23,30,30,18,23,282,17.6,15,182,1007,26.9,14.3,5.5,26.3,1.49
0.75,138,8.6,-0.3,8.3,7.9,0.4,1,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,8,349,536,65.1,4261,38,7.1,6,1.1,80,8.3,9.2,12.7,266.3,109.9,30,186,7.5,8.4,5.3,2,2,231.61,11,435,1917,14,44,4.4,119.8,19,-27.01,27,29,333,2,75,11.5,29,555,0,41,19.1,7287,23,7,7,12,11,7,5,7,4,33,27,55,53,51,2159,63,2,42.3,1,14,38,58,3,53,55,27,33,1,486,30.4,32,169,1034,46.7,7.1,6.1,36.5,2.63,14,348,5542,1054,5.3,27,9,339,333,564,3623,26,18,6,196,449,1919,11,4.3,116,104,945,27,33.1,14.9,-30.73,10,333,564,59,3623,26,4.6,18,3.2,6.9,6.4,11.7,226.4,82,41,261,6,5.5,6.8,-45.84,23,449,1919,11,4.3,119.9,5.5,6,22,191,1,8.7,58,1421,1,24.5,13,24,21,37,37,62,32,11,26,37,37,21,24,348,21.8,6,175,1078,33.1,14.9,6.2,31.6,1.84
0.563,65,4.1,-2.3,1.7,-0.8,2.5,14,5513,1062,5.2,22,9,313,295,485,3352,22,13,6.6,171,551,2161,12,3.9,108,94,834,34,33,11.3,-9.79,24,295,485,60.8,3352,22,4.5,13,2.7,76,7.1,6.8,11.7,209.5,86.4,26,108,6.6,6.3,5.1,1,1,41.25,5,551,2161,12,51,3.9,135.1,19,-44.9,29,34,208,0,21,6.1,20,422,0,41,21.1,6353,3,7,6,15,13,8,7,5,4,35,30,40,40,84,3845,71,1,45.8,14,12,22,40,0,40,40,30,35,1,372,23.3,7,194,1097,33,11.3,5.7,28.2,1.69,7,307,5571,1077,5.2,34,14,329,363,619,3890,28,20,5.9,206,420,1681,6,4,89,99,786,34,26.6,16.1,79.59,21,363,619,58.6,3890,28,4.5,20,3.2,6.7,6.1,11.4,243.1,80.4,38,251,5.9,5.4,5.8,29.48,10,420,1681,6,4,105.1,40.94,4,32,396,0,12.4,45,1169,0,26,31,22,19,33,32,83,19,6,28,32,33,19,22,307,19.2,30,199,1099,26.6,16.1,5.5,27.8,1.48
0.688,89,5.6,-1.1,4.4,5.2,-0.8,6,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,1,410,661,62,4894,42,6.4,16,2.4,80,7.7,7.8,12.3,305.9,96.8,29,168,7.1,7.3,4.2,1,1,150.92,22,415,1612,9,49,3.9,100.8,31,-56.98,5,45,312,0,22,6.9,38,1065,0,76,28,8093,10,10,10,10,10,8,7,3,3,31,30,50,50,69,3221,61,0,46.7,6,9,42,53,3,50,50,30,31,0,458,28.6,1,205,1136,39.5,14.6,5.5,31.6,2.18,19,369,5483,1007,5.4,26,14,309,320,543,3669,27,12,6.3,175,423,1814,14,4.3,103,101,866,31,28.1,12.6,-7.22,12,320,543,58.9,3669,27,5,12,2.2,7.2,7.2,12.3,229.3,88.7,41,263,6.3,6.3,7,-16.5,18,423,1814,14,4.3,113.4,-0.48,28,35,205,0,5.9,26,587,0,22.6,23,19,15,46,46,90,27,14,27,46,46,15,19,369,23.1,31,199,1026,28.1,12.6,5.2,27.5,1.67
0.188,-163,-10.2,-0.3,-10.5,-7.8,-2.7,32,4634,988,4.7,26,8,271,325,557,3001,15,18,4.8,154,360,1633,9,4.5,86,73,573,31,22.6,12.8,-128.71,31,325,557,58.3,3001,15,2.7,18,3.2,63,6.2,5.3,10.6,187.6,72,71,450,4.8,4,11.3,1,1,-106.21,21,360,1633,9,62,4.5,102.1,15,-8.91,9,37,264,0,23,7.1,43,1033,0,40,24,6424,13,3,3,8,7,9,7,6,3,26,20,23,23,96,4464,69,2,46.5,32,9,15,27,4,23,23,20,26,1,249,15.6,6,195,1014,22.6,12.8,5.2,23.7,1.17,26,412,5932,1085,5.5,20,14,330,355,541,3899,24,6,6.7,200,499,2033,15,4.1,107,115,886,23,36.3,9.8,-39.34,22,355,541,65.6,3899,24,4.4,6,1.1,7.7,8.1,11.8,243.7,99.1,45,275,6.7,7,7.7,-67.17,27,499,2033,15,4.1,127.1,20.76,25,52,464,0,8.9,22,516,0,23.5,21,35,31,45,45,75,1,15,24,45,45,31,35,412,25.8,24,193,1120,36.3,9.8,5.8,30.7,1.9
0.563,72,4.5,1.1,5.6,0,5.7,16,5100,962,5.3,17,11,309,320,493,3182,18,6,5.9,184,420,1918,18,4.6,92,88,681,33,35.8,9.2,37.4,29,320,493,64.9,3182,18,3.7,6,1.2,70,7,7.1,10.7,198.9,92.2,49,246,5.9,6,9,3,3,58.31,10,420,1918,18,63,4.6,119.9,22,-2.73,1,50,605,1,81,12.1,51,1430,1,99,28,7366,22,10,10,7,6,10,7,2,1,30,25,38,38,71,3164,69,0,44.6,16,18,18,40,2,38,38,25,30,0,353,22.1,31,173,992,35.8,9.2,5.7,29.4,1.93,2,281,5288,1024,5.2,14,8,310,318,545,3252,22,6,5.5,184,433,2036,4,4.7,108,107,851,18,32.6,6.7,-5.79,2,318,545,58.3,3252,22,4,6,1.1,6.4,6.7,11,203.3,86.4,46,253,5.5,5.8,7.8,-17.03,28,433,2036,4,4.7,127.3,8.98,32,29,190,0,6.6,54,1293,0,23.9,12,37,32,25,25,78,17,4,22,25,25,32,37,281,17.6,8,178,1061,32.6,6.7,6,29.7,1.56
0.5,15,0.9,1.6,2.6,2.9,-0.4,11,5601,1040,5.4,23,11,361,394,595,3729,27,12,5.8,226,399,1872,12,4.7,99,81,635,36,37.6,10.5,68.79,17,394,595,66.2,3729,27,4.5,12,2,50,6.8,6.8,10.3,233.1,92.5,46,337,5.8,5.8,7.2,2,1,83.74,12,399,1872,12,97,4.7,117,27,-11.91,22,25,204,0,32,8.2,41,1082,0,74,26.4,7270,27,12,12,8,7,10,6,6,3,37,29,41,41,59,2688,60,1,45.6,11,12,27,42,1,41,41,29,37,3,388,24.3,17,181,1077,37.6,10.5,6,30.9,1.99,20,373,5494,1029,5.3,25,11,309,338,537,3557,27,14,6.2,194,453,1937,13,4.3,99,105,920,16,36.7,13.3,-25.46,6,338,537,62.9,3557,27,5,14,2.6,7,6.8,11.1,222.3,89.7,39,211,6.2,6,6.8,-48.03,24,453,1937,13,4.3,121.1,16.29,11,36,349,0,9.7,46,1237,1,26.9,7,34,26,39,39,61,22,13,27,39,39,26,34,373,23.3,14,180,1063,36.7,13.3,5.9,30.3,1.99
0.438,-18,-1.1,-0.5,-1.7,-2.8,1.1,20,5048,981,5.1,20,2,288,322,517,3244,17,18,5.7,171,413,1804,12,4.4,90,100,836,27,31.8,10.8,2.96,28,322,517,62.3,3244,17,3.3,18,3.5,87,6.9,6,11.1,202.8,79.2,51,322,5.7,4.9,9,3,3,1.79,14,413,1804,12,67,4.4,112.8,12,4.02,7,27,297,0,35,11,54,1173,0,51,21.7,6819,19,5,4,10,8,9,7,9,5,35,26,29,29,76,3318,62,1,43.7,20,12,17,35,4,29,29,26,35,0,325,20.3,25,176,1016,31.8,10.8,5.8,28.5,1.64,11,343,5515,1025,5.4,19,6,321,353,534,3572,26,13,6.2,189,450,1943,10,4.3,100,112,938,32,34.1,10.1,-42.67,7,353,534,66.1,3572,26,4.9,13,2.4,7.1,7,10.7,223.3,92.8,41,217,6.2,6.1,7.1,-57.96,25,450,1943,10,4.3,121.4,7.87,26,39,255,0,6.5,28,579,0,20.7,14,31,25,37,36,76,13,10,26,36,37,25,31,343,21.4,10,179,1056,34.1,10.1,5.9,30.6,1.83
0.75,155,9.7,1.3,10.9,7.5,3.5,4,5848,1073,5.5,13,4,361,392,609,4121,34,9,6.5,228,438,1727,13,3.9,96,120,1080,37,45.3,7.2,169.27,9,392,609,64.4,4121,34,5.6,9,1.5,69,7,7.5,10.9,257.6,97.5,26,170,6.5,6.9,4.1,4,4,190.36,18,438,1727,13,43,3.9,107.9,13,-6.34,16,41,431,1,84,10.5,31,693,0,81,22.4,7164,5,11,11,11,10,13,12,1,1,37,35,51,51,67,3060,67,1,45.7,4,13,34,52,1,51,51,35,37,0,468,29.3,16,181,1110,45.3,7.2,6.1,32.3,2.4,8,313,5506,1033,5.3,25,9,329,342,574,3837,24,16,6.2,196,419,1669,6,4,88,92,752,45,32.4,13.2,-27.24,17,342,574,59.6,3837,24,4.2,16,2.8,7.2,6.8,12,239.8,84,40,282,6.2,5.9,6.5,-61,9,419,1669,6,4,104.3,20.24,17,29,267,0,9.2,45,955,0,21.2,28,37,29,28,28,65,29,6,24,28,28,29,37,313,19.6,18,182,1070,32.4,13.2,5.9,30.2,1.63
0.438,-23,-1.4,-1.5,-2.9,1.9,-4.8,9,6582,1095,6,30,13,395,456,659,4764,33,17,6.9,258,406,1818,16,4.5,101,80,670,36,39.1,16.7,142.36,3,456,659,69.2,4764,33,5,17,2.6,69,7.5,7.4,10.9,297.8,97,30,188,6.9,6.8,4.4,2,2,143.71,13,406,1818,16,67,4.5,113.6,22,4.07,32,19,134,0,32,7.1,21,543,0,99,25.9,7425,31,6,6,9,9,5,3,2,1,22,19,47,46,58,2690,63,0,46.4,9,16,33,49,1,46,47,19,22,2,401,25.1,29,174,1117,39.1,16.7,6.4,37.7,2.3,28,424,6144,1022,6,17,5,345,341,546,4019,26,12,6.9,205,442,2125,17,4.8,111,105,889,29,43.3,9.9,-147.8,25,341,546,62.5,4019,26,4.8,12,2.2,7.7,7.7,12.3,251.2,92.9,34,188,6.9,6.9,5.9,-115.66,29,442,2125,17,4.8,132.8,-34.86,1,24,99,0,4.1,39,1029,0,26.4,2,32,31,43,43,63,24,17,26,43,43,31,32,424,26.5,2,171,1054,43.3,9.9,6.2,35.8,2.3
