T,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rnktmosns,Yds,Ply,YP,TO,FL,FirstD,Cmp,Att,RnYds,TD,Int,NYAs,FrstDPerPass,RushAtt,RushYdsGnd,RuhingShutD,RshYdspAt,Fstdns,Penalties,Yards,FirstDownsP,Sc,Tos,EXPByOffense,RankByPassingoffense,PassesCompleted,PassesAttempted,PercentageOfPassesCompleted,YdsgainedByPassing,Tds,TDPercentage,Interceptionsthrown,InterceptionsThrownedPercentage,LngstCompletedPassthrown,YardsgainedByPassAttempt,Adugestedyardagained,YardsGainedPerpassCompletion,YardsgainedperPlayedGame,Rating,Timessacked,YdsLostDueToSacks,NYPerPassattempt,AdjustedNYA,SkPercentage,FourQC,GWDByQuarterBacks,ExpectedPointsContributedByPassingOffense,RkByRushingOffense,AttemptsRushing,YdsgainedRushing,TdsRsh,LngstRshAtt,YARsh,YdaPG,Fmbles,EXPPByRshoffense,RkByKickPuntReturns,Rets,PuntsReturnYardage,PuntsreturnedPreTD,LngstPuntRet,YdsgainedPerPuntReturs,KickOffReturns,YardageForKickoffReturns,KickOffReturnsForTD,LngstKickOffReturn,YperRT,AllPurposeYards,RkByKickingPunting,FGAtwenties,FGMtwenties,FGAthirties,FGMthirties,FGAfourties,FGMfourties,FGAfifryplus,FGMfiftyplus,FGAtot,FGMtot,XPAttempted,XPMade,PntTimes,TotPuntYardage,LngstPnt,Blcks,YperPunts,RnkByScoringOffense,RshTD,RecTD,AllTD,TwoPA,XpointsMade,XpointsAttempted,TotalFGM,TotalFGA,Sfty,PtsByAllMeans,PtsPerG,RkByDrives,NumberofDrives,PlaysInDrive,ScPercntge,PercenntageOfDrivesEndingInOffensiveTurnover,AvgPlays,NtsYdsPD,AvgPtsScored
0,284,314,-30,-2.5,1.1,-1.4,1.7,-3.2,13,4352,759,5.7,20,10,244,294,459,3196,28,10,6.7,160,282,1156,6,4.1,59,96,757,25,35.5,11.3,49.29,8,294,459,64.1,3196,28,6.1,10,2.2,68,7.2,7.5,11.3,266.3,96.9,18,124,6.7,6.9,3.8,2,2,79.34,22,282,1156,6,54,4.1,96.3,22,-28.07,1,35,237,0,22,6.8,37,824,0,41,22.3,5537,20,5,5,4,3,7,5,4,3,20,16,33,32,54,2349,70,0,43.5,13,6,28,34,1,32,33,16,20,0,284,23.7,15,141,778,35.5,11.3,5.5,30.8,2.03
0,278,302,-24,-2,-1.6,-3.6,-1,-2.6,15,4225,825,5.1,22,8,254,287,450,2837,17,14,5.9,134,347,1388,10,4,87,83,670,33,28.3,14.5,-9.01,19,287,450,63.8,2837,17,3.8,14,3.1,62,6.7,6.1,10.6,236.4,82.9,28,196,5.9,5.3,5.9,0,1,16.32,12,347,1388,10,63,4,115.7,15,-21.55,24,30,387,2,89,12.9,15,302,0,40,20.1,5110,3,5,5,8,6,4,3,4,2,21,16,32,30,68,3109,64,2,45.7,15,10,17,33,0,30,32,16,21,1,278,23.2,4,152,847,28.3,14.5,5.6,27.5,1.56
0,311,240,71,5.9,1.8,7.7,3.4,4.3,6,4909,755,6.5,19,5,244,273,426,3432,20,14,7.6,146,304,1477,11,4.9,75,68,653,23,40.4,12.1,109.13,5,273,426,64.1,3432,20,4.7,14,3.3,88,8.4,7.9,13.2,286,92.6,25,159,7.6,7.1,5.5,1,2,105.94,6,304,1477,11,55,4.9,123.1,13,6.4,25,21,200,1,71,9.5,24,596,0,38,24.8,5864,27,9,9,6,6,14,8,2,2,32,26,23,21,45,1894,79,0,42.1,6,11,20,33,10,21,23,26,32,0,311,25.9,14,141,787,40.4,12.1,5.6,34.8,2.09
0,247,324,-77,-6.4,1.5,-4.9,-1.7,-3.2,25,4567,819,5.6,19,10,269,340,504,3575,24,9,6.7,181,285,992,2,3.5,61,87,726,27,35.4,13.1,24.29,4,340,504,67.5,3575,24,4.8,9,1.8,70,7.5,7.6,11.1,297.9,97.9,30,201,6.7,6.8,5.6,1,2,74.23,30,285,992,2,27,3.5,82.7,16,-45.21,32,12,38,0,18,3.2,23,475,0,30,20.7,5281,28,3,3,6,6,10,8,4,3,23,20,24,21,53,2348,68,1,44.3,25,2,24,27,3,21,24,20,23,0,247,20.6,31,130,842,35.4,13.1,6.5,35.1,1.86
0,178,291,-113,-9.4,3.9,-5.6,-6.5,0.9,32,3541,707,5,11,3,188,224,371,2352,11,8,5.8,110,300,1189,6,4,64,79,560,14,26.5,6.8,-22.27,30,224,371,60.4,2352,11,3,8,2.2,76,6.9,6.6,11.5,196,82.2,36,226,5.8,5.4,8.8,1,1,-0.41,20,300,1189,6,44,4,99.1,16,-19.07,17,22,150,0,37,6.8,32,728,0,40,22.8,4645,23,7,6,5,5,4,4,3,3,19,18,15,14,70,3127,62,0,44.7,32,6,11,18,2,14,15,18,19,0,178,14.8,28,132,726,26.5,6.8,5.5,26.8,1.31
0,305,229,76,6.3,2.1,8.4,4.5,3.8,8,4545,762,6,12,5,239,241,353,2786,21,7,7.1,132,370,1759,9,4.8,98,90,782,9,38.8,8.2,79.24,21,241,353,68.3,2786,21,5.9,7,2,80,8.5,8.8,12.4,232.2,105.9,39,211,7.1,7.4,9.9,2,2,89.71,1,370,1759,9,69,4.8,146.6,11,3.95,7,34,286,1,64,8.4,26,671,1,105,25.8,5713,15,7,7,5,5,7,6,4,4,23,22,30,27,57,2583,70,0,45.3,8,9,21,35,5,27,30,22,23,0,305,25.4,24,134,785,38.8,8.2,5.9,33.8,2.06
0,189,257,-68,-5.7,3.2,-2.4,-5.6,3.2,31,3556,692,5.1,20,10,175,209,373,2136,8,10,5.5,91,304,1420,10,4.7,65,96,809,19,22.5,12.6,-94.41,32,209,373,56,2136,8,2.1,10,2.7,68,6,5.2,10.7,178,69.8,15,103,5.5,4.8,3.9,1,1,-55.96,10,304,1420,10,71,4.7,118.3,17,-28.63,15,31,251,1,75,8.1,24,564,0,41,23.5,4474,8,2,2,9,8,5,3,8,3,24,16,18,17,74,3598,68,0,48.6,31,10,8,20,2,17,18,16,24,1,189,15.8,5,151,716,22.5,12.6,4.7,23.5,1.15
0,271,298,-27,-2.3,-3.3,-5.5,-2.5,-3,18,4436,761,5.8,20,9,248,221,377,2719,17,11,6.8,142,361,1717,9,4.8,77,117,947,29,37.3,14.2,41.36,24,221,377,58.6,2719,17,4.5,11,2.9,68,7.6,7.2,13,226.6,85.6,23,158,6.8,6.4,5.8,2,3,60.57,2,361,1717,9,84,4.8,143.1,18,-11.07,26,26,288,0,58,11.1,17,418,0,38,24.6,5300,29,10,9,8,7,8,4,7,4,33,24,26,23,40,1700,56,0,42.5,18,9,17,29,3,23,26,24,33,0,271,22.6,25,134,795,37.3,14.2,5.9,33.1,1.9
0,245,296,-51,-4.3,-3.6,-7.8,-5.6,-2.2,26,3926,737,5.3,24,12,241,255,399,2691,20,12,6.1,150,299,1235,8,4.1,58,77,627,33,28.6,16.4,-10.78,25,255,399,63.9,2691,20,5,12,3,61,7.4,7,11.5,224.3,90.1,39,242,6.1,5.8,8.9,2,2,24.75,18,299,1235,8,87,4.1,102.9,18,-30.35,14,28,240,0,37,8.6,27,588,0,34,21.8,4996,26,3,3,3,3,5,5,3,1,14,12,26,25,62,2888,61,0,46.6,26,8,20,30,3,25,26,12,14,0,245,20.4,19,140,752,28.6,16.4,5.4,28,1.66
0,257,286,-29,-2.4,-1.7,-4.1,-3.1,-1.1,21,4001,751,5.3,20,10,226,290,424,2870,17,10,6.5,150,307,1131,6,3.7,52,81,669,24,34.1,14.4,5.3,17,290,424,68.4,2870,17,4,10,2.4,78,7.1,6.8,10.4,239.2,92.2,20,136,6.5,6.2,4.5,2,2,60.7,26,307,1131,6,42,3.7,94.3,21,-52.31,10,24,125,0,16,5.2,34,886,2,101,26.1,5148,24,5,5,8,8,9,7,4,2,26,22,25,25,53,2366,63,1,44.6,21,6,17,27,2,25,25,22,26,1,257,21.4,29,132,777,34.1,14.4,5.9,30.3,1.72
