PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rnktmosns,Yds,Ply,YP,TO,FL,FirstD,Cmp,Att,RnYds,TD,Int,NYAs,FrstDPerPass,RushAtt,RushYdsGnd,RuhingShutD,RshYdspAt,Fstdns,Penalties,Yards,FirstDownsP,Sc,Tos,EXPByOffense,RankByPassingoffense,PassesCompleted,PassesAttempted,PercentageOfPassesCompleted,YdsgainedByPassing,Tds,TDPercentage,Interceptionsthrown,InterceptionsThrownedPercentage,LngstCompletedPassthrown,YardsgainedByPassAttempt,Adugestedyardagained,YardsGainedPerpassCompletion,YardsgainedperPlayedGame,Rating,Timessacked,YdsLostDueToSacks,NYPerPassattempt,AdjustedNYA,SkPercentage,FourQC,GWDByQuarterBacks,ExpectedPointsContributedByPassingOffense,RkByRushingOffense,AttemptsRushing,YdsgainedRushing,TdsRsh,LngstRshAtt,YARsh,YdaPG,Fmbles,EXPPByRshoffense,RkByKickPuntReturns,Rets,PuntsReturnYardage,PuntsreturnedPreTD,LngstPuntRet,YdsgainedPerPuntReturs,KickOffReturns,YardageForKickoffReturns,KickOffReturnsForTD,LngstKickOffReturn,YperRT,AllPurposeYards,RkByKickingPunting,FGAtwenties,FGMtwenties,FGAthirties,FGMthirties,FGAfourties,FGMfourties,FGAfifryplus,FGMfiftyplus,FGAtot,FGMtot,XPAttempted,XPMade,PntTimes,TotPuntYardage,LngstPnt,Blcks,YperPunts,RnkByScoringOffense,RshTD,RecTD,AllTD,TwoPA,XpointsMade,XpointsAttempted,TotalFGM,TotalFGA,Sfty,PtsByAllMeans,PtsPerG,RkByDrives,NumberofDrives,PlaysInDrive,ScPercntge,PercenntageOfDrivesEndingInOffensiveTurnover,AvgPlays,NtsYdsPD,AvgPtsScored,TD1,TD2,TD3,TD4,TD5,TD6,TD7,TD8,TD9,TD10,TD11,TD12,TD13,TD14,TD15,TD16,TD17,TD18,TD19,TD20,TD21,TD22,TD23,TD24,TD25,TD26,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,PD11,PD12,PD13,PD14,PD15,PD16,PD17,PD18,PD19,PD20,RDA,RDB,RDC,RDD,RDE,RDF,RDG,PKA,PKB,PKC,PKD,PKE,PKF,PKG,PKH,PKI,KPA,KPB,KPC,KPD,KPF,KPG,SDA,SDB,SDC,SDD,SDE,SDF,ADG,SDH,ADI,DAA,DAB,DAC,DAD,DAE,DAF,DAG,DAH
307,296,11,0.9,-2.6,-1.6,1.6,-3.3,7,4256,779,5.5,14,4,240,292,469,3199,24,10,6.5,153,289,1057,3,3.7,50,83,647,37,38.8,10.4,42.41,7,292,469,62.3,3199,24,5.1,10,2.1,87,7.1,7.1,11.4,266.6,91.6,21,119,6.5,6.6,4.3,1,1,92.95,29,289,1057,3,39,3.7,88.1,15,-38.71,13,27,283,1,80,10.5,29,775,1,100,26.7,5433,12,4,4,10,10,8,7,3,3,26,25,31,30,56,2538,64,0,45.3,7,3,24,33,2,30,31,25,26,1,307,25.6,23,134,805,38.8,10.4,6,31.8,1.97,30,442,6725,1105,6.1,28,13,367,423,638,4783,31,15,7.2,236,444,1942,15,4.4,104,120,1077,27,40.5,14.2,-105.13,32,423,638,66.3,4783,31,4.9,15,2.4,7.7,7.6,11.6,298.9,95.9,23,137,7.2,7.2,3.5,-115.93,24,444,1942,15,4.4,121.4,0.91,24,30,300,0,10,54,1095,1,20.3,24,35,31,48,47,64,27,15,31,47,48,31,35,442,27.6,21,190,1140,40.5,14.2,6,35.2,2.18
295,248,47,3.9,-2.6,1.3,-0.6,1.8,11,4386,812,5.4,19,7,246,273,451,3039,24,12,6.5,155,344,1347,10,3.9,74,73,626,17,34.6,11.8,35.89,15,273,451,60.5,3039,24,5.3,12,2.7,58,6.9,6.8,11.5,253.3,88.1,17,92,6.5,6.4,3.6,1,1,72.41,14,344,1347,10,54,3.9,112.3,14,-29.14,2,39,354,0,58,9.1,31,661,0,54,21.3,5493,5,5,5,7,7,8,5,2,2,22,19,34,34,63,2708,68,1,43,11,10,24,34,0,34,34,19,22,0,295,24.6,2,153,834,34.6,11.8,5.5,28.5,1.93,9,314,5098,1013,5,30,12,271,343,601,3763,25,18,5.9,185,373,1335,4,3.6,62,90,767,24,28.4,14.4,54.43,13,343,601,57.1,3763,25,4.2,18,3,6.7,6.2,11.8,235.2,79,39,278,5.9,5.4,6.1,-23.17,2,373,1335,4,3.6,83.4,71.94,31,37,470,2,12.7,49,1168,0,23.8,28,29,26,33,30,86,22,4,25,30,33,26,29,314,19.6,25,194,1043,28.4,14.4,5.4,26.2,1.45
284,314,-30,-2.5,1.1,-1.4,1.7,-3.2,13,4352,759,5.7,20,10,244,294,459,3196,28,10,6.7,160,282,1156,6,4.1,59,96,757,25,35.5,11.3,49.29,8,294,459,64.1,3196,28,6.1,10,2.2,68,7.2,7.5,11.3,266.3,96.9,18,124,6.7,6.9,3.8,2,2,79.34,22,282,1156,6,54,4.1,96.3,22,-28.07,1,35,237,0,22,6.8,37,824,0,41,22.3,5537,20,5,5,4,3,7,5,4,3,20,16,33,32,54,2349,70,0,43.5,13,6,28,34,1,32,33,16,20,0,284,23.7,15,141,778,35.5,11.3,5.5,30.8,2.03,22,399,5818,1085,5.4,25,11,344,404,641,4140,25,14,6.1,206,406,1678,12,4.1,94,104,943,44,38.2,11.5,-59.91,26,404,641,63,4140,25,3.9,14,2.2,6.8,6.6,10.8,258.8,86.8,38,211,6.1,5.9,5.6,-70.87,13,406,1678,12,4.1,104.9,12.41,32,30,201,0,6.7,35,795,1,22.7,21,42,36,35,31,71,16,12,25,31,35,36,42,399,24.9,23,191,1127,38.2,11.5,5.9,30.5,1.92
278,302,-24,-2,-1.6,-3.6,-1,-2.6,15,4225,825,5.1,22,8,254,287,450,2837,17,14,5.9,134,347,1388,10,4,87,83,670,33,28.3,14.5,-9.01,19,287,450,63.8,2837,17,3.8,14,3.1,62,6.7,6.1,10.6,236.4,82.9,28,196,5.9,5.3,5.9,0,1,16.32,12,347,1388,10,63,4,115.7,15,-21.55,24,30,387,2,89,12.9,15,302,0,40,20.1,5110,3,5,5,8,6,4,3,4,2,21,16,32,30,68,3109,64,2,45.7,15,10,17,33,0,30,32,16,21,1,278,23.2,4,152,847,28.3,14.5,5.6,27.5,1.56,28,430,6426,1148,5.6,26,11,365,394,633,4273,36,15,6.4,239,478,2153,10,4.5,100,123,1049,26,36,11.8,-65.84,28,394,633,62.2,4273,36,5.7,15,2.4,7.1,7.2,11.5,267.1,92.8,37,243,6.4,6.4,5.5,-75.96,32,478,2153,10,4.5,134.6,4.45,11,42,215,0,5.1,34,705,0,20.7,29,27,27,49,47,89,20,10,36,47,49,27,27,430,26.9,32,203,1175,36,11.8,5.8,31.6,1.99
311,240,71,5.9,1.8,7.7,3.4,4.3,6,4909,755,6.5,19,5,244,273,426,3432,20,14,7.6,146,304,1477,11,4.9,75,68,653,23,40.4,12.1,109.13,5,273,426,64.1,3432,20,4.7,14,3.3,88,8.4,7.9,13.2,286,92.6,25,159,7.6,7.1,5.5,1,2,105.94,6,304,1477,11,55,4.9,123.1,13,6.4,25,21,200,1,71,9.5,24,596,0,38,24.8,5864,27,9,9,6,6,14,8,2,2,32,26,23,21,45,1894,79,0,42.1,6,11,20,33,10,21,23,26,32,0,311,25.9,14,141,787,40.4,12.1,5.6,34.8,2.09,11,319,5809,1055,5.5,30,13,327,402,625,4350,29,17,6.5,231,382,1459,6,3.8,71,121,1199,25,32.3,14.3,23.65,30,402,625,64.3,4350,29,4.6,17,2.7,7.5,7.2,11.6,271.9,90.9,48,311,6.5,6.2,7.1,-58.15,5,382,1459,6,3.8,91.2,71.36,6,19,165,0,8.7,54,1201,0,22.2,5,31,26,32,29,70,28,6,29,29,32,26,31,319,19.9,19,189,1086,32.3,14.3,5.7,30.5,1.71
247,324,-77,-6.4,1.5,-4.9,-1.7,-3.2,25,4567,819,5.6,19,10,269,340,504,3575,24,9,6.7,181,285,992,2,3.5,61,87,726,27,35.4,13.1,24.29,4,340,504,67.5,3575,24,4.8,9,1.8,70,7.5,7.6,11.1,297.9,97.9,30,201,6.7,6.8,5.6,1,2,74.23,30,285,992,2,27,3.5,82.7,16,-45.21,32,12,38,0,18,3.2,23,475,0,30,20.7,5281,28,3,3,6,6,10,8,4,3,23,20,24,21,53,2348,68,1,44.3,25,2,24,27,3,21,24,20,23,0,247,20.6,31,130,842,35.4,13.1,6.5,35.1,1.86,21,398,5791,959,6,20,9,299,328,510,3786,22,11,7,170,417,2005,17,4.8,101,120,976,28,37.8,10,-91.53,14,328,510,64.3,3786,22,4.3,11,2.2,7.9,7.8,12.2,236.6,93.8,32,222,7,6.9,5.9,-84.42,27,417,2005,17,4.8,125.3,-6.32,1,44,432,0,9.8,32,880,0,27.5,7,34,29,41,39,72,7,17,22,39,41,29,34,398,24.9,8,180,993,37.8,10,5.5,32.1,2
178,291,-113,-9.4,3.9,-5.6,-6.5,0.9,32,3541,707,5,11,3,188,224,371,2352,11,8,5.8,110,300,1189,6,4,64,79,560,14,26.5,6.8,-22.27,30,224,371,60.4,2352,11,3,8,2.2,76,6.9,6.6,11.5,196,82.2,36,226,5.8,5.4,8.8,1,1,-0.41,20,300,1189,6,44,4,99.1,16,-19.07,17,22,150,0,37,6.8,32,728,0,40,22.8,4645,23,7,6,5,5,4,4,3,3,19,18,15,14,70,3127,62,0,44.7,32,6,11,18,2,14,15,18,19,0,178,14.8,28,132,726,26.5,6.8,5.5,26.8,1.31,18,387,6199,1081,5.7,12,3,356,375,549,4179,21,9,7.2,199,504,2020,20,4,128,112,920,29,37.9,6.6,-114.47,27,375,549,68.3,4179,21,3.8,9,1.6,8,8,11.7,261.2,98.1,28,196,7.2,7.3,4.9,-147.81,29,504,2020,20,4,126.3,29.61,17,44,283,0,6.4,23,591,0,25.7,9,37,28,39,35,74,1,20,21,35,39,28,37,387,24.2,13,182,1118,37.9,6.6,6.1,34,2.04
305,229,76,6.3,2.1,8.4,4.5,3.8,8,4545,762,6,12,5,239,241,353,2786,21,7,7.1,132,370,1759,9,4.8,98,90,782,9,38.8,8.2,79.24,21,241,353,68.3,2786,21,5.9,7,2,80,8.5,8.8,12.4,232.2,105.9,39,211,7.1,7.4,9.9,2,2,89.71,1,370,1759,9,69,4.8,146.6,11,3.95,7,34,286,1,64,8.4,26,671,1,105,25.8,5713,15,7,7,5,5,7,6,4,4,23,22,30,27,57,2583,70,0,45.3,8,9,21,35,5,27,30,22,23,0,305,25.4,24,134,785,38.8,8.2,5.9,33.8,2.06,1,277,4668,947,4.9,23,9,273,333,548,3364,14,14,5.8,175,362,1304,10,3.6,71,94,795,27,29.3,13.2,58.89,2,333,548,60.8,3364,14,2.6,14,2.6,6.6,6,10.9,210.3,78.1,37,255,5.8,5.2,6.3,5.27,1,362,1304,10,3.6,81.5,40.95,25,29,382,1,13.2,42,1073,1,25.5,13,28,27,25,22,87,29,10,14,22,25,27,28,277,17.3,2,174,976,29.3,13.2,5.6,26.9,1.43
189,257,-68,-5.7,3.2,-2.4,-5.6,3.2,31,3556,692,5.1,20,10,175,209,373,2136,8,10,5.5,91,304,1420,10,4.7,65,96,809,19,22.5,12.6,-94.41,32,209,373,56,2136,8,2.1,10,2.7,68,6,5.2,10.7,178,69.8,15,103,5.5,4.8,3.9,1,1,-55.96,10,304,1420,10,71,4.7,118.3,17,-28.63,15,31,251,1,75,8.1,24,564,0,41,23.5,4474,8,2,2,9,8,5,3,8,3,24,16,18,17,74,3598,68,0,48.6,31,10,8,20,2,17,18,16,24,1,189,15.8,5,151,716,22.5,12.6,4.7,23.5,1.15,13,330,5885,1091,5.4,26,13,320,399,597,4065,21,13,6.4,192,453,1820,7,4,98,109,992,30,31.8,12.1,26.21,23,399,597,66.8,4065,21,3.5,13,2.2,7.2,6.9,10.8,254.1,90.4,41,236,6.4,6.1,6.4,-38.11,20,453,1820,7,4,113.8,63.43,22,40,289,1,7.2,27,605,0,22.4,27,37,35,29,29,83,4,7,21,29,29,35,37,330,20.6,29,198,1128,31.8,12.1,5.7,29.6,1.52
271,298,-27,-2.3,-3.3,-5.5,-2.5,-3,18,4436,761,5.8,20,9,248,221,377,2719,17,11,6.8,142,361,1717,9,4.8,77,117,947,29,37.3,14.2,41.36,24,221,377,58.6,2719,17,4.5,11,2.9,68,7.6,7.2,13,226.6,85.6,23,158,6.8,6.4,5.8,2,3,60.57,2,361,1717,9,84,4.8,143.1,18,-11.07,26,26,288,0,58,11.1,17,418,0,38,24.6,5300,29,10,9,8,7,8,4,7,4,33,24,26,23,40,1700,56,0,42.5,18,9,17,29,3,23,26,24,33,0,271,22.6,25,134,795,37.3,14.2,5.9,33.1,1.9,26,417,5446,1045,5.2,23,12,351,378,541,3840,31,11,6.6,208,466,1606,12,3.4,104,104,862,39,41.7,12.8,-80.13,16,378,541,69.9,3840,31,5.7,11,2,7.5,7.8,10.8,240,102.3,38,232,6.6,6.8,6.6,-134.46,11,466,1606,12,3.4,100.4,40.6,2,27,140,0,5.2,35,882,0,25.2,4,34,31,45,42,62,13,12,31,42,45,31,34,417,26.1,7,180,1078,41.7,12.8,6,30.5,2.23
245,296,-51,-4.3,-3.6,-7.8,-5.6,-2.2,26,3926,737,5.3,24,12,241,255,399,2691,20,12,6.1,150,299,1235,8,4.1,58,77,627,33,28.6,16.4,-10.78,25,255,399,63.9,2691,20,5,12,3,61,7.4,7,11.5,224.3,90.1,39,242,6.1,5.8,8.9,2,2,24.75,18,299,1235,8,87,4.1,102.9,18,-30.35,14,28,240,0,37,8.6,27,588,0,34,21.8,4996,26,3,3,3,3,5,5,3,1,14,12,26,25,62,2888,61,0,46.6,26,8,20,30,3,25,26,12,14,0,245,20.4,19,140,752,28.6,16.4,5.4,28,1.66,27,423,5475,1004,5.5,19,8,317,319,503,3678,34,11,6.8,192,462,1797,11,3.9,101,112,982,24,36.6,8.1,-47.06,7,319,503,63.4,3678,34,6.8,11,2.2,7.9,8.2,12.4,229.9,101.1,39,271,6.8,7.1,7.2,-105.21,18,462,1797,11,3.9,112.3,53.28,16,47,605,1,12.9,22,599,0,27.2,6,27,23,50,48,74,5,11,34,48,50,23,27,423,26.4,16,186,1031,36.6,8.1,5.5,29.3,2.06
257,286,-29,-2.4,-1.7,-4.1,-3.1,-1.1,21,4001,751,5.3,20,10,226,290,424,2870,17,10,6.5,150,307,1131,6,3.7,52,81,669,24,34.1,14.4,5.3,17,290,424,68.4,2870,17,4,10,2.4,78,7.1,6.8,10.4,239.2,92.2,20,136,6.5,6.2,4.5,2,2,60.7,26,307,1131,6,42,3.7,94.3,21,-52.31,10,24,125,0,16,5.2,34,886,2,101,26.1,5148,24,5,5,8,8,9,7,4,2,26,22,25,25,53,2366,63,1,44.6,21,6,17,27,2,25,25,22,26,1,257,21.4,29,132,777,34.1,14.4,5.9,30.3,1.72,17,379,6090,1010,6,27,16,329,354,566,4128,30,11,6.8,202,406,1962,10,4.8,103,112,955,24,35.4,14.9,-70.63,25,354,566,62.5,4128,30,5.3,11,1.9,7.8,7.9,12.4,258,96.1,38,264,6.8,7,6.3,-94.78,26,406,1962,10,4.8,122.6,20.41,19,30,258,1,8.6,29,582,0,20.1,11,28,23,41,40,69,23,10,30,40,41,23,28,379,23.7,11,181,1038,35.4,14.9,5.7,33.6,1.97
